,user_id,ISBN,rating
934,277157,0399148337,6
936,277157,0399148639,6
937,277157,0399148728,8
939,277157,0399150811,5
941,277157,0399151451,7
945,277157,0425183181,5
954,277157,0671024094,7
955,277157,0679450408,6
960,277157,074320607X,7
962,277157,0743486226,7
964,277157,0812571118,5
984,277168,0671032658,4
1010,277171,0449213730,8
1012,277171,0451173139,7
1013,277171,0486282406,10
1016,277171,0553580930,9
1019,277171,080410946X,8
1023,277179,0440414806,10
1024,277179,0679767800,7
1060,277187,0679745203,9
1077,277188,0525945636,4
1080,277189,074341232X,8
1083,277195,0060391626,10
1100,277195,0330332775,10
1131,277195,055326611X,10
1134,277195,0553347756,10
1135,277195,0553379615,10
1138,277195,0670869902,10
1140,277195,0671021001,10
1143,277195,0671647458,10
1173,277195,1573221856,10
1202,277203,030700645X,8
1203,277203,0307127923,8
1204,277203,0307302016,8
1205,277203,0307302636,8
1206,277203,0307987655,8
1211,277203,039480001X,9
1212,277203,0394800028,9
1213,277203,0394800184,9
1214,277203,039480029X,8
1215,277203,039480967X,8
1228,277203,059044297X,9
1232,277203,0590629719,10
1237,277203,0717283194,8
1238,277203,0717283208,8
1242,277203,0717284832,8
1259,277205,0671664964,7
1264,277228,0061044636,6
1275,277235,014029628X,6
1276,277235,0375703861,10
1278,277237,038550926X,7
1295,277253,0380807343,9
1298,277261,0440241073,7
1306,277272,0375708049,7
1321,277272,9726101794,4
1334,277314,0446360716,6
1335,277315,0060173289,8
1336,277315,0060976845,5
1337,277317,1561840564,9
1347,277341,084230052X,9
1361,277363,0060393823,1
1362,277363,0156027321,8
1367,277367,0312276885,10
1388,277378,0312195516,7
1396,277378,0446608955,4
1403,277378,0670892963,7
1406,277378,0671646575,6
1422,277378,0804114986,5
1423,277378,0812507452,4
1424,277378,0812515560,5
1425,277378,0812515595,4
1439,277397,0399140751,8
1456,277427,002542730X,10
1461,277427,0060006641,10
1465,277427,0060542128,7
1474,277427,0061009059,9
1497,277427,0152050167,10
1522,277427,0316776963,8
1543,277427,0345413903,10
1560,277427,0375751513,9
1564,277427,0380702843,8
1570,277427,0380791978,9
1571,277427,038081904X,9
1578,277427,0385424736,9
1581,277427,0385486804,9
1583,277427,0385503857,9
1584,277427,0385504209,8
1586,277427,039304016X,8
1599,277427,0399149562,7
1601,277427,0399501487,9
1607,277427,0425104338,9
1611,277427,0425116840,8
1615,277427,0425133516,9
1628,277427,0425190749,7
1637,277427,0440185327,5
1647,277427,0440224764,7
1650,277427,0440236061,8
1652,277427,0440236738,9
1655,277427,0440428130,8
1659,277427,0441627404,10
1662,277427,0446350982,9
1664,277427,0446600415,10
1670,277427,0446608890,10
1688,277427,0451191153,8
1690,277427,0451203593,10
1694,277427,0452284449,6
1710,277427,0553078925,8
1718,277427,0553280368,9
1723,277427,0553351672,10
1724,277427,0553571656,10
1728,277427,0553573926,10
1729,277427,0553574566,9
1736,277427,0553581929,9
1750,277427,0671014420,5
1755,277427,0671528904,8
1763,277427,0671740504,8
1768,277427,0671876821,8
1772,277427,0679417648,10
1776,277427,0679731148,9
1778,277427,0679736042,5
1796,277427,0736903054,8
1797,277427,0740723367,9
1798,277427,0743406176,8
1799,277427,0743412028,9
1800,277427,0743422082,9
1802,277427,0743444477,9
1803,277427,0743457943,8
1807,277427,0767903382,10
1810,277427,0786866845,10
1814,277427,0802425488,9
1826,277427,0810909650,5
1828,277427,0811802981,10
1829,277427,0811811409,10
1831,277427,0812531353,8
1838,277427,0836210263,10
1840,277427,0836213076,10
1842,277427,0836217691,10
1844,277427,0836218515,10
1847,277427,0836218817,10
1849,277427,0836221192,10
1850,277427,0836221311,8
1852,277427,0836236688,10
1858,277427,0843947888,7
1878,277427,0887621112,6
1880,277427,0890876517,10
1893,277427,0898157803,10
1919,277427,1400060265,10
1931,277427,1565075722,10
1940,277427,1572304510,10
1951,277427,8251800811,7
1960,277436,0590629786,10
1963,277436,0590629816,10
1965,277439,0316666343,7
1966,277439,0345444892,5
1967,277439,0345452550,5
1969,277439,0399149821,7
1973,277439,0671027360,7
1985,277466,0380718340,7
1991,277466,0440226414,7
1998,277466,0553292722,8
1999,277466,0553571885,8
2005,277470,0330312367,5
2007,277471,3596200261,10
2009,277473,0785264280,8
2010,277474,014038572X,5
2029,277478,0312113420,7
2039,277478,0312979533,7
2046,277478,0345330129,8
2095,277478,0440213320,7
2165,277478,0752853694,10
2190,277478,1558745718,8
2221,277478,9068340344,7
2231,277508,0446609781,8
2236,277509,1400030382,9
2237,277509,2221090810,10
2252,277519,0895261901,10
2253,277523,0312289723,10
2254,277523,0316603570,10
2255,277523,0316693200,10
2256,277523,0345452577,10
2257,277523,0345452593,10
2258,277523,0385336322,10
2259,277523,0385336357,10
2260,277523,0385508042,10
2261,277523,0385510438,10
2262,277523,039915180X,10
2263,277523,0399151877,10
2264,277523,0440241537,10
2265,277523,0446530891,10
2266,277523,0446613843,10
2267,277523,0515133302,10
2269,277523,055308576X,10
2270,277523,0553801589,10
2271,277523,0553803409,10
2272,277523,0671886665,10
2273,277523,0684835983,10
2275,277523,0743206045,10
2278,277523,1558744150,10
2296,277535,0316601950,9
2297,277535,034543739X,7
2302,277547,3404149114,3
2304,277554,0345392825,9
2305,277554,0345435168,3
2309,277554,0452268060,5
2310,277554,0553211803,7
2313,277556,0345318587,10
2316,277562,0140043519,9
2317,277562,0140274286,6
2329,277563,0312971400,6
2330,277563,0312986769,7
2353,277575,0142004235,5
2354,277575,0446301582,9
2355,277575,0446608262,9
2362,277588,8401463017,8
2364,277588,8408039369,6
2385,277619,0618002219,8
2387,277623,002542730X,5
2388,277623,0028604199,9
2389,277623,0140340203,9
2392,277623,0786890436,4
2393,277623,1400031346,8
2394,277623,1400031354,8
2395,277623,1588720756,6
2406,277629,0380005166,7
2407,277629,0380018179,8
2408,277629,0385472943,8
2409,277629,0399132414,9
2410,277629,0425116840,6
2411,277629,0440241073,8
2413,277629,0671000306,7
2414,277629,0671000314,8
2415,277629,0671026682,7
2417,277629,0671795740,9
2420,277633,0553245694,7
2447,277639,0345335058,6
2450,277639,034539657X,8
2499,277639,0380731851,6
2522,277639,0425142485,7
2523,277639,0425147363,8
2524,277639,042516098X,5
2537,277639,0440211727,8
2540,277639,0440214041,9
2546,277639,0440430712,7
2556,277639,0446794031,8
2569,277639,0451085108,9
2578,277639,0451162145,8
2608,277639,0553297260,8
2617,277639,0553579754,7
2675,277639,0812543262,8
2694,277641,0375406328,7
2695,277641,0452277337,8
2697,277646,0451210980,9
2700,277648,0679745580,8
2704,277651,0743225406,8
2708,277660,2253006629,8
2722,277665,3453007867,9
2756,277691,0446607657,9
2765,277710,0061015725,4
2768,277710,0425192032,9
2769,277710,0446611638,5
2770,277710,0446613843,6
2771,277710,0451208765,10
2772,277710,0451210840,5
2775,277710,0451210875,8
2776,277710,0553582763,6
2787,277711,0449911160,6
2790,277711,0553282980,5
2791,277711,0671755056,10
2792,277711,0812967224,7
2794,277711,1573227889,10
2802,277711,3499100045,10
2809,277714,089296751X,10
2821,277737,0440217520,8
2825,277740,185326086X,10
2857,277752,0316666343,7
2858,277752,0679734775,8
2860,277756,0385484518,7
2861,277759,0553211404,7
2863,277764,0399501487,9
2864,277765,0553272535,8
2870,277776,0345339681,7
2872,277778,0061097314,8
2875,277782,0425173739,7
2876,277783,0380778556,8
2880,277788,0440407524,8
2885,277795,0064406601,5
2886,277797,0440228441,8
2887,277798,0385484518,8
2890,277801,0380750260,7
2891,277802,0553210793,6
2892,277803,0142001740,8
2894,277808,0553272535,9
2902,277817,0425173755,10
2906,277823,0140345353,8
2908,277825,0060931396,10
2910,277827,0380778556,9
2911,277828,0380778556,8
2917,277835,014032724X,10
2924,277844,0140345353,8
2952,277879,0671759361,8
2977,277884,0380789019,7
2983,277898,1558744606,8
2984,277901,0064440044,10
2990,277901,0446672211,7
2991,277901,0446675059,7
2992,277901,0452282152,8
2998,277901,0679427430,8
3001,277901,0894716174,9
3004,277903,0440226430,8
3008,277911,0399138250,10
3009,277913,0452284937,4
3022,277922,0345384377,7
3025,277922,0440225701,6
3026,277922,0446609943,7
3028,277922,0553580191,9
3029,277922,0553582917,10
3051,277928,0375410287,8
3053,277928,0385301499,8
3063,277928,0449908186,10
3076,277928,0679751602,10
3077,277928,0679764925,8
3078,277928,0679770151,10
3084,277928,0767915062,9
3086,277928,0804105820,9
3107,277929,0451198948,8
3114,277929,0553561537,9
3125,277937,0060934417,9
3128,277937,0316168815,7
3129,277937,0316785261,6
3130,277937,0345468694,6
3131,277937,0452283205,7
3132,277937,0452283868,6
3135,277937,0684848406,6
3137,277937,0743225325,6
3138,277937,0743237188,7
3142,277938,0446672211,9
3146,277938,0743437802,9
3174,277954,0375507876,9
3185,277958,0142001740,9
3186,277959,0156027321,8
3187,277959,0446529788,6
3188,277959,0553802542,7
3190,277959,0688179088,8
3192,277959,0767905385,6
3260,277969,0446527785,8
3261,277975,0440216818,9
3307,277989,1558745157,6
3337,278007,0316601950,6
3338,278007,034543479X,8
3339,278007,0374480095,8
3341,278007,0446670251,6
3342,278007,0804115761,7
3343,278007,0821766570,5
3378,278024,0375757597,1
3381,278026,0060572965,9
3382,278026,0061009059,8
3384,278026,0061031410,8
3386,278026,0061094129,8
3387,278026,0312983433,8
3388,278026,0345440064,8
3391,278026,0380731851,5
3392,278026,0380820889,8
3394,278026,038533558X,9
3396,278026,0399142649,8
3400,278026,0446527041,8
3402,278026,0446531588,5
3403,278026,0446610607,7
3405,278026,0446612510,8
3406,278026,0449006522,8
3407,278026,0449219364,6
3408,278026,0449221512,5
3409,278026,0449227545,3
3410,278026,0451179153,8
3411,278026,0451179897,6
3413,278026,0451202473,7
3414,278026,0451204301,8
3415,278026,0451206525,8
3416,278026,0515125490,8
3418,278026,0515130389,8
3419,278026,0515135968,8
3421,278026,0553582364,6
3422,278026,0671001795,8
3426,278026,0684810387,8
3428,278026,0743206045,7
3431,278026,0786889667,5
3437,278026,1551667517,7
3439,278026,1551669625,6
3491,278064,0725107251,8
3501,278075,044900371X,7
3502,278075,0452282152,8
3503,278079,0385486804,8
3504,278079,0440236053,5
3506,278085,0374270325,7
3512,278095,0553210416,7
3519,278100,0425144062,8
3520,278100,0451160916,8
3526,278107,0446605239,8
3527,278110,0671870998,8
3533,278112,0385472951,8
3534,278112,0440236665,7
3535,278112,0515118230,6
3538,278119,044661162X,9
3546,278137,0060002492,7
3549,278137,0061057894,9
3551,278137,0140067647,9
3564,278137,0345337662,7
3575,278137,0373115431,8
3585,278137,0380600129,8
3586,278137,0380708655,6
3591,278137,0425065553,8
3603,278137,0440940001,8
3610,278137,0446606812,7
3611,278137,0449209830,8
3616,278137,0515094978,8
3620,278137,0553287532,9
3627,278137,0670894508,4
3629,278137,0671434225,8
3631,278137,0671525808,9
3638,278137,0671745093,7
3647,278137,0804106304,8
3662,278137,1556611536,9
3664,278137,1558744150,9
3665,278137,1558745017,8
3782,278176,0971880107,9
3788,278185,0060198346,7
3789,278185,0142000205,4
3790,278185,0671038230,5
3796,278188,0156005891,8
3817,278188,0373218192,7
3819,278188,0373244487,6
3822,278188,0373272898,6
3827,278188,0373441762,4
3828,278188,0373441851,6
3831,278188,0373484003,7
3858,278188,0440122090,4
3861,278188,044022103X,8
3862,278188,0440223571,9
3863,278188,0440225701,9
3873,278188,0446603589,9
3888,278188,0515124621,8
3937,278188,0671644459,7
3938,278188,0671644475,5
3949,278188,0743410181,6
3952,278188,0778320065,8
3953,278188,0778320286,8
3960,278188,080410946X,8
3976,278188,1551661586,6
3980,278188,1551665344,7
3981,278188,1551666960,8
4020,278200,0553268937,7
4061,278218,0060977493,7
4063,278218,0140039589,7
4067,278218,0349101779,10
4082,278221,0440216745,7
4084,278221,0446613436,7
4086,278221,0553582755,9
4088,278221,0671027123,8
4093,278221,0743460529,8
4098,278221,0804106304,9
4099,278221,0840776381,8
4106,278221,1556611188,9
4107,278221,1556611536,9
4108,278221,1556612257,10
4122,278238,039480029X,10
4124,278243,0156027321,8
4125,278243,0156711427,8
4126,278243,0375725784,7
4127,278243,0671510053,8
4129,278245,3423205903,9
4140,278251,044020562X,7
4143,278254,0671027360,8
4148,278255,0440241162,8
4154,278257,0060974788,8
4157,278257,0449912302,5
4158,278257,0451153553,8
4159,278257,0451170385,9
4161,278259,0451163494,9
4162,278259,0451173139,10
4165,278263,0373218036,8
4166,278264,8466303316,8
4170,278279,0590553232,8
4171,278279,1567184693,5
4199,278325,0440214041,7
4218,278345,0061099813,7
4235,278350,0312195516,9
4236,278355,1577780728,9
4244,278356,006091646X,9
4246,278356,0140167153,8
4251,278356,0312265859,7
4252,278356,0312965338,8
4253,278356,0374270325,9
4257,278356,0439064872,8
4258,278356,0439136369,10
4259,278356,0439139600,10
4260,278356,043935806X,10
4268,278356,0671016768,8
4274,278356,0786868414,9
4280,278356,0884270610,9
4287,278361,0671868691,7
4297,278388,0786886323,8
4299,278390,0375409440,8
4300,278390,0380730847,7
4301,278390,0385313667,7
4302,278390,0399147195,7
4303,278390,0425182908,4
4304,278390,0440236053,7
4306,278390,044661257X,8
4307,278390,0553569058,9
4309,278390,0671027360,7
4310,278390,0671683993,10
4314,278390,0688152449,7
4316,278390,080410753X,9
4321,278401,3426600218,9
4325,278411,0446610542,8
8864,278422,0060935464,9
8865,278422,0385475721,8
8866,278422,0671027360,6
8878,278435,3453146972,9
8881,278446,0743418190,6
8897,278461,0843949090,10
8899,278465,0440217466,10
8901,278469,0316569321,7
8902,278469,0446679593,6
8903,278469,0743237188,7
8920,278492,0316158720,7
8963,278525,0394820371,10
8964,278525,0446518581,8
9030,278540,0060937742,1
9034,278543,0446605239,5
9035,278543,0553096834,7
9048,278550,0345339703,10
9050,278551,0425129586,6
9051,278551,044041833X,7
9052,278551,0590660543,5
9055,278552,0553573616,9
9056,278552,0671021001,7
9057,278552,0671510053,8
9058,278552,0679768203,4
9059,278552,0684829746,10
9060,278554,0060096195,9
9061,278554,0140292683,8
9062,278554,0140293450,8
9063,278554,0152050167,10
9064,278554,0330375253,8
9065,278554,0345423097,10
9066,278554,0385730586,9
9073,278554,0752837613,9
9074,278554,1853260282,7
9111,278571,8420646032,6
9175,278586,0440224624,3
9176,278586,0446606812,5
9177,278586,0553575090,8
9178,278586,0786889187,7
9307,278653,0446606812,6
9317,278668,8408022938,5
9332,278672,0679731148,7
9338,278683,0446364495,1
9342,278694,0425182215,7
9345,278694,0451410017,8
9347,278694,0515132039,6
9349,278694,074341022X,8
9350,278694,0743437802,9
9358,278720,359625180X,5
9364,278723,0446607657,4
9368,278724,0679735909,8
9379,278755,0385492081,1
9412,278778,3442421357,8
9426,278798,0316284955,7
9428,278798,0786868015,7
9431,278800,0312995423,9
9433,278807,0449223612,10
9437,278818,0743400526,9
9441,278824,0671014188,6
9445,278832,155874262X,10
9446,278832,1558745718,10
9447,278832,1558747109,10
9448,278836,0312983867,8
9457,278843,0060173289,9
9458,278843,0060517794,7
9463,278843,014028009X,8
9465,278843,0142000205,9
9475,278843,0385260075,8
9477,278843,0399146431,9
9480,278843,0440211263,7
9485,278843,0553274503,8
9489,278843,059035342X,8
9495,278843,0679412956,8
9503,278843,0767902890,9
9504,278843,0786881852,8
9520,278844,0345387651,6
9523,278846,0060809833,8
9525,278849,0380698439,9
9533,278851,0439050006,5
9536,278851,0440486599,5
9545,278851,0894803700,5
9548,278851,1558531025,8
9618,42,0553582747,7
9621,44,0440223571,8
9624,51,0440225701,9
9632,56,0671623249,7
9652,75,1558531025,5
9654,78,0394895894,8
9659,85,0340767936,5
9667,92,8445071408,7
9668,92,8445071769,8
9669,92,8445071777,10
9672,99,0312252617,8
9673,99,0312261594,8
9674,99,0316748641,7
9677,99,0446677450,10
9678,99,0451166892,3
9690,114,0446608653,9
9691,114,0446612545,9
9692,114,0446612618,8
9693,114,0451208080,8
9694,114,0553584383,9
9695,114,0671027360,10
9697,125,0679429220,10
9698,129,0316735736,7
9724,165,0060976845,9
9725,165,0061099325,4
9726,165,0446612545,5
9735,178,0451410319,6
9880,185,0380778556,10
9889,202,0140252800,6
9893,212,0060801263,8
9899,228,0385337639,7
9900,228,039575514X,9
9904,232,0486284735,8
9914,242,0553278223,10
9921,242,3257208626,8
9931,242,3257233051,9
9941,242,3492045642,8
9951,242,3596292646,7
10057,254,0060934700,9
10059,254,0060976977,7
10071,254,0064471047,7
10073,254,0066238501,5
10084,254,0142001740,9
10130,254,0373226063,6
10132,254,0373226144,5
10164,254,0373834489,9
10181,254,037582345X,9
10184,254,0380730448,8
10186,254,0380789035,10
10188,254,0380817845,8
10189,254,0380973634,10
10190,254,0380973650,9
10192,254,0380977281,8
10194,254,038097827X,8
10202,254,0399146431,9
10208,254,0439064864,9
10209,254,0439064872,9
10210,254,0439136350,9
10211,254,0439136369,9
10212,254,0439139597,9
10243,254,0451167317,8
10246,254,0451406176,6
10248,254,0451409256,7
10251,254,0451524934,9
10253,254,0451526341,8
10270,254,0553280325,8
10279,254,0590353403,9
10284,254,0618002219,9
10285,254,0618002227,8
10290,254,0671021001,7
10306,254,0679879242,8
10349,254,1563895730,9
10354,254,156971620X,9
10360,254,1931081727,9
10369,272,0060977477,7
10400,332,0380730138,6
10402,334,1573228737,8
10403,337,9681500555,9
10405,339,0452283914,8
10412,361,8433914545,8
10423,367,0449005615,9
10425,372,3596214629,8
10478,387,0451527747,10
10483,388,0060973897,8
10484,388,0060976845,3
10485,388,006101351X,6
10492,388,0449002632,7
10493,388,0449213773,10
10494,388,0452279690,10
10495,388,0553569058,10
10503,388,1573225126,5
10505,388,1878424319,7
10580,408,0312283784,8
10588,408,0553582682,9
10599,413,0553210092,8
10600,413,0553258524,7
10610,424,0425156842,7
10612,424,0452277337,7
10614,424,0671021001,6
10616,424,0805063897,8
10618,431,0553285343,4
10626,433,0842329129,5
10632,440,0743424425,10
10633,440,0786868015,7
10639,444,0385337132,7
10640,444,0440235057,7
10702,486,0060976845,8
10706,486,0451202341,8
10707,486,0743418190,7
10736,493,0385472951,8
10738,496,0425182878,8
10739,496,055356451X,8
10741,499,0743412621,10
10748,503,0140179836,10
10751,503,0345348656,8
10756,503,0385496095,10
10759,503,0439099404,10
10760,503,0440241006,10
10763,503,0515131679,8
10766,503,068484267X,10
10773,503,1558743669,10
10776,505,006017143X,9
10778,505,0345313860,7
10781,505,0385306032,8
10783,505,042517736X,7
10787,505,0671868713,8
10789,505,0805056491,9
10923,508,0385335679,6
10924,508,0440122090,7
10925,512,0671525832,5
10930,523,0060930187,8
10934,538,0821775863,8
10943,565,0061042943,8
10969,595,0060083298,9
10970,595,0140293248,9
10971,595,0446610399,9
10972,595,0446672211,10
10979,596,0743213831,8
10995,620,0449245691,7
11006,625,2253007102,10
11009,625,2266084372,8
11037,626,3492207006,10
11071,638,0060191929,9
11073,638,0140107649,10
11076,638,0151001006,10
11077,638,0316603287,9
11078,638,0316666343,10
11079,638,0316693006,10
11080,638,0316693200,9
11081,638,0316769487,10
11082,638,0316776963,10
11083,638,0316779423,10
11084,638,0316779490,9
11085,638,0316789089,10
11086,638,0316969443,10
11087,638,0345339711,10
11093,638,0385420161,9
11094,638,0385470819,9
11096,638,0385504209,10
11097,638,0385505833,10
11099,638,0394574745,8
11103,638,0399148582,9
11104,638,0425184129,9
11106,638,0446523569,10
11107,638,0446525502,9
11108,638,0446525537,9
11109,638,0446527793,10
11110,638,0446531332,10
11116,638,0609605925,8
11117,638,0609606727,8
11119,638,0670892963,7
11120,638,0671042556,9
11123,638,0679442790,10
11127,638,0679732241,9
11128,638,0679746048,7
11133,638,0684874318,10
11134,638,0688180639,9
11136,638,0743230051,9
11137,638,0743406176,10
11140,638,1558747028,10
11141,638,1558747346,8
11142,638,1570717257,9
11152,643,0061092606,8
11157,643,0140366660,9
11160,643,0140622063,8
11174,643,0671894455,7
11175,643,0743222229,8
11181,643,0752804510,8
11196,643,1853260002,2
11212,643,2253001457,8
11216,643,2253043974,8
11218,643,2253049417,9
11220,643,2253063339,10
11221,643,2253140872,8
11244,651,0060934719,8
11249,651,0345370740,7
11251,651,0345403339,7
11258,651,0425142485,6
11265,651,0451456548,7
11271,651,0679801146,4
11272,651,0786886463,7
11273,651,0786889160,7
11279,651,156341029X,8
11282,651,1563899388,6
11289,677,0345418778,8
11292,683,0517201658,8
11294,685,0743211383,10
11311,709,0064405052,9
11314,709,015216250X,10
11315,709,0152162577,10
11316,709,0316666343,3
11318,709,0345391802,7
11326,709,0440219078,10
11330,709,0590897985,9
11346,712,3404118960,5
11350,713,0753804700,10
11362,726,0380820447,10
11364,726,0451454243,10
11390,735,038533334X,4
11393,735,0440222818,7
11395,735,0440224829,9
11397,735,044661162X,9
11400,735,0451185277,8
11404,735,0515134368,9
11416,741,0140065172,10
11426,741,0373037449,10
11468,741,0590514776,6
11483,744,042512892X,8
11484,744,0425137945,8
11488,746,0375821813,8
11489,746,0394820371,8
11491,746,0812516826,5
11509,757,034538184X,8
11523,771,0345347536,10
11524,774,055321313X,8
11525,776,0060529709,7
11526,776,0140274154,9
11528,776,0375704027,8
11530,776,0876850867,8
11541,786,0553584510,6
11542,786,0553586122,3
11550,805,0060256672,10
11551,805,0060928336,7
11555,805,0140070206,9
11556,805,0140077022,10
11557,805,014016930X,10
11559,805,0140253602,4
11561,805,0156027321,9
11564,805,0316777730,7
11567,805,0375501851,8
11569,805,038001503X,10
11573,805,039592720X,9
11574,805,0440215625,8
11575,805,0452282152,8
11577,805,0553268449,8
11580,805,0671003755,8
11582,805,0679732764,10
11584,805,0684844729,8
11590,805,0877733759,10
11609,824,0679734775,5
11618,828,0345409469,10
11619,834,0141001771,5
11620,834,0373250177,2
11621,834,0449005569,3
11623,834,0671027344,7
11626,834,0786884622,3
11628,834,1558747346,5
11632,843,006019491X,8
11633,843,0066211611,8
11639,843,0684819066,8
11641,843,0786927089,8
11644,850,0671578103,6
11686,853,0140042520,8
11687,853,0345358791,5
11688,853,0345375211,9
11715,882,0020418809,10
11722,882,0064401847,10
11723,882,0064402967,5
11738,882,0345334930,8
11740,882,0373218400,5
11741,882,0373484224,7
11746,882,0380018179,10
11752,882,0385504209,10
11753,882,0394557433,10
11757,882,0425179672,10
11764,882,0440235162,10
11779,882,051509465X,9
11782,882,0515134368,6
11783,882,0515135062,6
11785,882,0517556278,8
11787,882,0553205587,9
11792,882,0553250426,10
11797,882,0553272586,5
11799,882,0553280589,10
11805,882,0553572997,10
11808,882,0618260307,10
11811,882,067101420X,4
11813,882,0671641778,10
11818,882,0679429220,9
11820,882,067976402X,10
11827,882,0743457943,5
11841,883,0140266771,7
11848,896,0140620338,8
11850,899,0971880107,2
11851,899,3257061269,9
11853,899,3453088433,4
11862,900,0060928336,9
11870,900,0449212084,5
11873,900,0553572490,6
11876,901,000649840X,9
11880,901,0099771519,9
11883,901,0140431268,8
11903,901,0785268480,10
11910,902,067102535X,8
11911,903,0876855575,9
11913,913,0140272658,8
11941,915,0156027321,10
12014,938,0385335482,9
12039,965,0805063889,9
12041,969,068986020X,8
12067,999,0441003257,7
12072,1009,0399149759,8
12073,1009,0451181468,9
12074,1009,0671028375,10
12092,1025,0060562080,8
12093,1025,0060928336,5
12103,1025,0142000663,10
12110,1025,0330306839,8
12112,1025,0380012863,8
12114,1025,0394404289,9
12123,1025,0552996009,9
12124,1025,0552998001,9
12125,1025,0552999504,8
12138,1025,068484267X,9
12143,1025,0743225082,8
12166,1031,0345458915,7
12167,1031,0671027360,7
12171,1038,0140317937,5
12175,1048,0553256696,9
12179,1054,1400034779,8
12181,1057,038533303X,6
12184,1060,0786885688,8
12185,1063,0345387007,5
12190,1063,0671880187,5
12198,1075,0142001740,10
12199,1075,0316666343,7
12200,1075,0375726403,7
12201,1075,0385504209,7
12203,1075,0553377868,9
12204,1075,0609608444,10
12206,1075,0767902521,9
12208,1075,1400034779,5
12210,1082,1558744606,10
12241,1113,0385324057,9
12248,1116,0061030651,8
12249,1116,006109594X,7
12253,1116,0425185710,6
12255,1116,0553575619,5
12264,1129,0064407667,4
12265,1129,014025448X,7
12268,1129,0385472951,6
12269,1129,0385493800,6
12270,1129,0553377876,3
12274,1129,1400062888,3
12275,1129,1558612815,9
12325,1133,0446611239,8
12332,1140,0671880187,10
12334,1150,0486280616,10
12335,1155,006101253X,7
12336,1155,0373250223,8
12343,1155,0380814021,6
12344,1155,0380817683,10
12348,1155,0451409256,9
12349,1155,0671000381,7
12350,1155,0671032658,9
12351,1155,0671689231,7
12353,1155,0743405978,8
12361,1164,0380012774,10
12362,1166,225313922X,9
12363,1167,0060929596,10
12371,1167,038533656X,5
12372,1167,0440217520,5
12373,1167,0440224675,8
12378,1167,0679450548,7
12379,1167,0743230213,7
12380,1167,0802135196,9
12383,1169,0375707425,6
12393,1178,0440940001,2
12396,1180,0812565959,10
12400,1184,0425163385,7
12401,1184,0553585118,3
